Date,Value,Notes
03-06-2026,1000,
02-06-2026,2000,
01-06-2026,2000,
31-05-2026,2000,
30-05-2026,2000,
29-05-2026,2000,
28-05-2026,2000,
27-05-2026,2000,
26-05-2026,1000,
25-05-2026,2000,
24-05-2026,2000,
23-05-2026,1000,
22-05-2026,2000,
21-05-2026,2000,
20-05-2026,SKIP,
19-05-2026,SKIP,
18-05-2026,2000,
17-05-2026,2000,
16-05-2026,2000,
15-05-2026,2000,
14-05-2026,2000,
13-05-2026,2000,
12-05-2026,2000,
11-05-2026,2000,
10-05-2026,UNKNOWN,
09-05-2026,2000,
08-05-2026,2000,
07-05-2026,2000,
06-05-2026,2000,
05-05-2026,2000,
04-05-2026,2000,
03-05-2026,1000,
02-05-2026,1000,
01-05-2026,2000,
30-04-2026,2000,
29-04-2026,2000,
28-04-2026,SKIP,
27-04-2026,2000,
26-04-2026,2000,
25-04-2026,1000,
24-04-2026,1000,
23-04-2026,1000,
22-04-2026,2000,
21-04-2026,2000,
20-04-2026,2000,
19-04-2026,2000,
18-04-2026,2000,
17-04-2026,2000,
16-04-2026,2000,
15-04-2026,2000,
14-04-2026,2000,
13-04-2026,2000,
12-04-2026,2000,
11-04-2026,2000,
10-04-2026,SKIP,
09-04-2026,SKIP,
08-04-2026,SKIP,
07-04-2026,2000,
06-04-2026,2000,
05-04-2026,2000,
04-04-2026,2000,
03-04-2026,2000,
02-04-2026,2000,
01-04-2026,2000,
31-03-2026,2000,
30-03-2026,2000,
29-03-2026,2000,
28-03-2026,2000,
27-03-2026,2000,
26-03-2026,2000,
25-03-2026,2000,
24-03-2026,2000,
23-03-2026,2000,
22-03-2026,1000,
21-03-2026,2000,
20-03-2026,1000,
19-03-2026,2000,
18-03-2026,1000,
17-03-2026,2000,
16-03-2026,2000,
15-03-2026,2000,
14-03-2026,2000,
13-03-2026,2000,
12-03-2026,1000,
11-03-2026,2000,
10-03-2026,2000,
09-03-2026,2000,
08-03-2026,2000,
07-03-2026,2000,
06-03-2026,2000,
05-03-2026,2000,
04-03-2026,2000,
03-03-2026,2000,
02-03-2026,2000,
01-03-2026,2000,
28-02-2026,2000,
27-02-2026,2000,
26-02-2026,2000,
25-02-2026,2000,
24-02-2026,2000,
23-02-2026,1000,
22-02-2026,2000,
21-02-2026,2000,
20-02-2026,2000,
19-02-2026,2000,
18-02-2026,2000,
17-02-2026,UNKNOWN,
