Date,Value,Notes
08-04-2026,YES_AUTO,Morning Workout
07-04-2026,YES_AUTO,Morning Workout
06-04-2026,YES_AUTO,Morning Workout
05-04-2026,YES_AUTO,Morning Workout
04-04-2026,YES_AUTO,Morning Workout
03-04-2026,YES_AUTO,Morning Workout
02-04-2026,YES_MANUAL,Morning Workout
01-04-2026,YES_AUTO,Morning Workout
31-03-2026,YES_AUTO,Morning Workout
30-03-2026,YES_AUTO,Morning Workout
29-03-2026,YES_AUTO,Morning Workout
28-03-2026,YES_AUTO,Morning Workout
27-03-2026,YES_AUTO,Morning Workout
26-03-2026,YES_MANUAL,Morning Workout
25-03-2026,YES_AUTO,Morning Workout
24-03-2026,YES_AUTO,Morning Workout
23-03-2026,YES_AUTO,Morning Workout
22-03-2026,YES_AUTO,Morning Workout
21-03-2026,YES_AUTO,Morning Workout
20-03-2026,YES_AUTO,Morning Workout
19-03-2026,YES_MANUAL,Morning Workout
18-03-2026,YES_AUTO,Morning Workout
17-03-2026,YES_AUTO,Morning Workout
16-03-2026,YES_AUTO,Morning Workout
15-03-2026,YES_AUTO,Morning Workout
14-03-2026,YES_AUTO,Morning Workout
13-03-2026,YES_AUTO,Morning Workout
12-03-2026,YES_MANUAL,Morning Workout
11-03-2026,YES_AUTO,Morning Workout
10-03-2026,YES_AUTO,Morning Workout
09-03-2026,YES_AUTO,Morning Workout
08-03-2026,YES_AUTO,Morning Workout
07-03-2026,YES_AUTO,Morning Workout
06-03-2026,YES_AUTO,Morning Workout
05-03-2026,YES_MANUAL,Morning Workout
04-03-2026,NO,Morning Workout
03-03-2026,NO,Morning Workout
02-03-2026,NO,Morning Workout
01-03-2026,NO,Morning Workout
28-02-2026,NO,Morning Workout
27-02-2026,NO,Morning Workout
26-02-2026,NO,Morning Workout
25-02-2026,YES_AUTO,Morning Workout
24-02-2026,YES_AUTO,Morning Workout
23-02-2026,YES_AUTO,Morning Workout
22-02-2026,YES_AUTO,Morning Workout
21-02-2026,YES_AUTO,Morning Workout
20-02-2026,YES_AUTO,Morning Workout
19-02-2026,YES_MANUAL,Morning Workout
18-02-2026,YES_AUTO,Morning Workout
17-02-2026,YES_AUTO,Morning Workout
16-02-2026,YES_AUTO,Morning Workout
15-02-2026,YES_AUTO,Morning Workout
14-02-2026,YES_AUTO,Morning Workout
13-02-2026,YES_AUTO,Morning Workout
12-02-2026,YES_MANUAL,Morning Workout
11-02-2026,YES_AUTO,Morning Workout
10-02-2026,YES_AUTO,Morning Workout
09-02-2026,YES_AUTO,Morning Workout
08-02-2026,YES_AUTO,Morning Workout
07-02-2026,YES_AUTO,Morning Workout
06-02-2026,YES_AUTO,Morning Workout
05-02-2026,YES_MANUAL,Morning Workout
04-02-2026,YES_AUTO,Morning Workout
03-02-2026,YES_AUTO,Morning Workout
02-02-2026,YES_AUTO,Morning Workout
01-02-2026,YES_AUTO,Morning Workout
31-01-2026,YES_AUTO,Morning Workout
30-01-2026,YES_AUTO,Morning Workout
29-01-2026,YES_MANUAL,Morning Workout
28-01-2026,YES_AUTO,Morning Workout
27-01-2026,YES_AUTO,Morning Workout
26-01-2026,YES_AUTO,Morning Workout
25-01-2026,YES_AUTO,Morning Workout
24-01-2026,YES_AUTO,Morning Workout
23-01-2026,YES_AUTO,Morning Workout
22-01-2026,YES_MANUAL,Morning Workout
21-01-2026,YES_AUTO,Morning Workout
20-01-2026,YES_AUTO,Morning Workout
19-01-2026,YES_AUTO,Morning Workout
18-01-2026,YES_AUTO,Morning Workout
17-01-2026,YES_AUTO,Morning Workout
16-01-2026,YES_AUTO,Morning Workout
15-01-2026,YES_MANUAL,Morning Workout
14-01-2026,YES_AUTO,Morning Workout
13-01-2026,YES_AUTO,Morning Workout
12-01-2026,YES_AUTO,Morning Workout
11-01-2026,YES_AUTO,Morning Workout
10-01-2026,YES_AUTO,Morning Workout
09-01-2026,YES_AUTO,Morning Workout
08-01-2026,YES_MANUAL,Morning Workout
07-01-2026,YES_AUTO,Morning Workout
06-01-2026,YES_AUTO,Morning Workout
05-01-2026,YES_AUTO,Morning Workout
04-01-2026,YES_AUTO,Morning Workout
03-01-2026,YES_AUTO,Morning Workout
02-01-2026,YES_AUTO,Morning Workout
01-01-2026,YES_MANUAL,Morning Workout
31-12-2025,NO,Morning Workout
