Date,Value,Notes
2026-04-16,1000,
2026-04-15,2000,
2026-04-14,2000,
2026-04-13,2000,
2026-04-12,2000,
2026-04-11,2000,
2026-04-10,2000,
2026-04-09,2000,
2026-04-08,2000,
2026-04-07,2000,
2026-04-06,2000,
2026-04-05,2000,
2026-04-04,2000,
2026-04-03,2000,
2026-04-02,2000,
2026-04-01,2000,
2026-03-31,2000,
2026-03-30,2000,
2026-03-29,2000,
2026-03-28,2000,
2026-03-27,2000,
2026-03-26,2000,
2026-03-25,2000,
2026-03-24,2000,
2026-03-23,2000,
2026-03-22,1000,
2026-03-21,2000,
2026-03-20,1000,
2026-03-19,2000,
2026-03-18,1000,
2026-03-17,2000,
2026-03-16,2000,
2026-03-15,2000,
2026-03-14,2000,
2026-03-13,2000,
2026-03-12,1000,
2026-03-11,2000,
2026-03-10,2000,
2026-03-09,2000,
2026-03-08,2000,
2026-03-07,2000,
2026-03-06,2000,
2026-03-05,2000,
2026-03-04,2000,
2026-03-03,2000,
2026-03-02,2000,
2026-03-01,2000,
2026-02-28,2000,
2026-02-27,2000,
2026-02-26,2000,
2026-02-25,2000,
2026-02-24,2000,
2026-02-23,1000,
2026-02-22,2000,
2026-02-21,2000,
2026-02-20,2000,
2026-02-19,2000,
2026-02-18,2000,
