Date,Value,Notes
2026-04-16,5000,
2026-04-15,SKIP,
2026-04-14,SKIP,
2026-04-11,UNKNOWN,
2026-04-10,UNKNOWN,
2026-04-09,UNKNOWN,
2026-04-08,1000,
2026-04-07,1000,
2026-04-06,3000,
2026-04-05,SKIP,
2026-04-04,1000,
2026-04-03,2000,
2026-04-02,SKIP,
2026-04-01,SKIP,
2026-03-31,SKIP,
2026-03-30,SKIP,
2026-03-29,1000,
2026-03-27,2000,
2026-03-26,2000,
2026-03-25,SKIP,
2026-03-24,SKIP,
2026-03-23,2000,
2026-03-22,1000,
2026-03-19,5000,
2026-03-17,1000,
2026-03-15,1000,
2026-03-10,5000,
2026-03-09,1000,
2026-03-08,1000,
2026-03-06,2000,
2026-03-05,1000,
2026-03-04,1000,
2026-03-03,1000,
2026-03-02,1000,
2026-03-01,1000,
